,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
130,andhra pradesh,arecanut,whole year ,vizianagaram,6.714285714,7.0,0.821428571,nan,nan
131,andhra pradesh,arecanut,whole year ,west godavari,10.83333333,7.666666667,0.761666667,nan,nan
132,andhra pradesh,arhar/tur,kharif     ,adilabad,38584.33333,18376.26667,0.473333333,nan,nan
133,andhra pradesh,arhar/tur,kharif     ,anantapur,40846.22727,8619.772727,0.228636364,nan,nan
134,andhra pradesh,arhar/tur,kharif     ,chittoor,7109.045455,1336.409091,0.190909091,nan,nan
135,andhra pradesh,arhar/tur,kharif     ,east godavari,1305.857143,603.6666667,0.504761905,nan,nan
136,andhra pradesh,arhar/tur,kharif     ,guntur,25782.54545,21655.81818,0.910909091,nan,nan
137,andhra pradesh,arhar/tur,kharif     ,kadapa,11777.68182,3346.409091,0.279090909,nan,nan
138,andhra pradesh,arhar/tur,kharif     ,karimnagar,8294.2,4035.4,0.463333333,nan,nan
139,andhra pradesh,arhar/tur,kharif     ,khammam,19430.0,9731.333333,0.48,nan,nan
140,andhra pradesh,arhar/tur,kharif     ,krishna,4816.318182,2827.545455,0.641363636,nan,nan
141,andhra pradesh,arhar/tur,kharif     ,kurnool,45162.68182,18735.95455,0.421818182,nan,nan
142,andhra pradesh,arhar/tur,kharif     ,mahbubnagar,73944.73333,27614.4,0.372,nan,nan
143,andhra pradesh,arhar/tur,kharif     ,medak,23187.2,10172.4,0.413333333,nan,nan
144,andhra pradesh,arhar/tur,kharif     ,nalgonda,33210.8,12882.26667,0.372666667,nan,nan
145,andhra pradesh,arhar/tur,kharif     ,nizamabad,3098.133333,2012.4,0.59,nan,nan
146,andhra pradesh,arhar/tur,kharif     ,prakasam,67869.72727,33131.36364,0.481818182,nan,nan
147,andhra pradesh,arhar/tur,kharif     ,rangareddi,35077.46667,17065.0,0.490666667,nan,nan
148,andhra pradesh,arhar/tur,kharif     ,spsr nellore,1097.818182,691.8181818,0.644090909,nan,nan
149,andhra pradesh,arhar/tur,kharif     ,srikakulam,1220.5,650.6363636,0.541363636,nan,nan
150,andhra pradesh,arhar/tur,kharif     ,visakhapatanam,3166.909091,1174.409091,0.383181818,nan,nan
151,andhra pradesh,arhar/tur,kharif     ,vizianagaram,1504.681818,849.8181818,0.563181818,nan,nan
152,andhra pradesh,arhar/tur,kharif     ,warangal,21274.93333,8660.666667,0.417333333,nan,nan
153,andhra pradesh,arhar/tur,kharif     ,west godavari,318.55,184.45,0.582,nan,nan
154,andhra pradesh,arhar/tur,rabi       ,adilabad,1602.909091,804.2727273,0.51,nan,nan
155,andhra pradesh,arhar/tur,rabi       ,anantapur,60.0,22.4,0.144285714,nan,nan
